DRAW_ID;N1;N2;N3;N4;N5;RANK1;RANK2;RANK3;RANK4;RANK5;RANK6;RANK7;RANK8;RANK9;RANK10;RANK11;RANK12;NB_TICKETS
233;4;5;17;38;48;0;2;1;36;772;1367;1826;28525;37450;67684;152760;587271;25061187
234;19;25;28;33;44;0;9;6;95;1240;2434;4321;63751;58529;113120;322851;850702;37254716
235;1;16;38;42;45;0;2;7;29;599;1250;2010;20295;28130;62756;114341;439931;25049475
236;11;17;21;48;50;1;14;24;119;2925;6512;6378;95192;139424;307015;501558;2089032;100462716
237;20;27;34;46;50;0;7;21;92;2213;4323;4758;72340;99959;191378;402569;1531360;71239058
238;24;34;35;42;46;0;5;11;102;1869;3677;4867;75342;91150;181019;431979;1412821;72028983
239;4;29;35;36;39;0;6;12;64;1298;2487;3205;49267;64551;121119;270186;1013757;48057754
240;14;15;21;23;48;0;16;25;141;2720;6106;6586;98588;130475;284470;516608;1957361;91766645
241;4;16;18;25;44;0;3;9;62;1010;2534;2383;33455;44578;113810;178391;638250;33830104
242;10;19;23;45;49;0;7;7;59;1532;3491;2909;43908;68636;153630;218456;998782;48243949
243;2;7;24;43;46;0;2;10;28;673;1649;1630;24373;35481;82371;134883;548619;29137556
244;8;18;25;35;46;0;10;13;93;1499;2962;4327;66001;66013;130864;357394;1002796;48006851
245;1;3;16;24;37;0;3;10;41;881;1670;1999;29287;39023;76607;150093;574601;25818071
246;31;32;38;40;42;0;4;4;48;942;1882;2304;35867;43181;87027;211856;697179;38110319
247;2;7;22;27;40;0;4;11;51;1067;2192;2389;33570;42348;84140;170300;587693;23587013
248;14;17;28;29;39;0;5;19;58;1279;3748;2461;33644;51247;143755;170697;690013;35524084
249;1;11;20;22;35;0;2;6;32;745;1833;1291;18533;32264;82193;96192;443465;21550279
250;14;18;19;43;49;0;0;6;55;970;1768;3796;64878;45265;84079;376899;745644;34059924
251;7;17;20;35;50;1;2;9;35;830;1723;1568;22147;33233;65957;113595;485044;21261212
252;10;22;27;38;48;2;6;17;131;1380;2558;5286;76714;59727;111278;404714;864479;36963922
253;8;15;26;30;48;0;1;7;31;745;1764;1209;18290;31461;74181;97583;449106;22834614
254;5;11;22;34;40;2;24;38;128;2719;6154;4919;71006;109364;247053;369856;1506538;72120151
255;13;34;37;47;49;0;6;7;78;1585;2863;3413;47631;69727;128483;254793;990343;46719892
256;2;4;14;26;36;0;6;14;70;1868;4264;3544;49645;82209;191077;266002;1194714;59226295
257;8;15;17;25;28;0;10;28;52;1774;3697;2450;34109;64235;140497;172867;831841;35287555
258;12;22;35;46;49;0;9;11;124;1664;3347;4928;69351;67811;135007;380980;994684;46658759
259;16;31;32;37;41;0;3;10;33;765;1349;1895;29553;35792;66511;173627;561150;28628898
260;13;29;43;47;50;0;4;10;69;1311;2694;2844;40373;58621;123420;205381;852298;43542989
261;2;11;13;26;50;0;4;14;71;1138;1844;3245;42330;47280;78311;203235;638500;23938788
262;1;13;17;38;44;0;7;9;50;1024;2460;2165;31766;49112;115858;164958;727917;36100539
263;3;21;34;38;48;0;6;4;92;769;1292;2500;36321;32818;55541;189424;470297;20539001
264;3;26;39;40;41;0;5;4;42;860;1728;2136;31850;42953;84942;184934;660710;34277267
